ID,Russian,Lemma,Agency
743,кланяться,bow,neutral
658,выживать,survive,positive
833,сбрасывать,dump,positive
194,истощать,exhaust,negative
955,забирать,withdraw,positive
1924,валять,clown,neutral
1541,убеждать,convince,neutral
34,ломать,break,positive
36,лежать,lie,neutral
1705,смущать,confuse,neutral
1579,поклоняться,worship,neutral
317,отчуждать,alien,negative
232,выдерживать,endure,neutral
1820,снимать,skin,negative
189,выслеживать,tail,positive
119,блокировать,block,positive
1197,хлопать,slam,neutral
324,отсутствовать,absent,negative
188,смущать,confuse,neutral
1914,откладывать,postpone,neutral
184,осушать,drain,neutral
844,проливать,shed,neutral
1107,ронять,drop,neutral
1371,сдувать,deflate,neutral
1765,беспокоить,disturb,neutral
639,хоронить,bury,neutral
1945,седлать,saddle,positive
403,преувеличивать,exaggerate,neutral
1804,чернить,blacken,neutral
1948,не одобрить,disapprove,neutral
96,ломать,break,positive
307,прятать,hide,positive
1589,обожать,adore,neutral
603,избегать,avoid,neutral
1620,пилить,saw,positive
223,признаваться,confess,neutral
1587,заканчивать,end,positive
301,извергаться,erupt,positive
1334,спускать,leash,positive
1428,дополнять,supplement,positive
1418,пищать,peep,neutral
1426,льстить,flatter,neutral
1431,привязывать,strap,neutral
1425,требовать,demand,positive
1419,усиливать,amplify,positive
1420,исходить,emanate,neutral
1421,воодушевлять,spirit,positive
1430,потеть,sweat,neutral
1429,перемещать,relocate,positive
1423,привлекать,appeal,neutral
1427,заклинивать,jam,negative
1424,вызывать,evoke,neutral
1422,помещать,place,neutral
1,продолжать,continue,neutral
1433,купать,bathe,neutral
1462,роднить,relate,neutral
1461,размышлять,mull,neutral
1460,трудиться,toil,neutral
1459,совершенствовать,perfect,positive
1458,косить,mow,positive
1457,возвышать,dignify,positive
1456,дезертировать,defect,negative
1455,свирепо,glower,negative
1454,сходиться,converge,neutral
1453,сеять,sow,positive
1452,проклинать,damn,negative
1451,умолять,implore,negative
1450,целовать,kiss,neutral
1449,выгуливать,outing,neutral
1448,кормить,feed,neutral
